#,team,gp,mpg,ppg,fgm,fga,fg%,3pm,3pa,3p%,ftm,fta,ft%,orb,drb,rpg,apg,spg,bpg,tov,pf
,,,,,,,,,,,,,,,,,,,,,
1,London Lightning,57,48.8,116.1,42.1,87.5,.481,9.9,28.9,.342,21.9,30.6,.716,11.7,34.6,46.2,27.2,7.2,4.8,13.9,24.5
2,Fujian,38,48.6,116.1,43.1,88.8,.485,13.4,34.0,.394,16.4,21.2,.777,13.6,31.0,44.6,18.9,7.7,2.5,11.9,19.8
3,Guangzhou Loong Lions,40,48.5,114.1,39.3,83.8,.469,8.6,24.9,.345,26.8,33.4,.802,14.7,28.1,42.8,13.8,9.3,2.2,12.3,26.8
4,Shanxi Zhongyu,38,48.2,113.6,42.7,86.0,.497,10.2,29.6,.343,18.0,25.3,.709,11.3,32.7,44.1,21.5,8.1,2.7,14.0,22.3
5,Shandong,48,48.3,113.5,41.5,83.4,.498,10.4,29.1,.357,19.9,27.3,.731,13.1,30.0,43.0,19.3,10.0,3.0,12.9,24.8
6,Zhejiang Guangsha,54,48.3,113.4,41.9,86.1,.487,9.8,28.2,.348,19.7,24.8,.795,13.2,31.4,44.6,20.3,10.3,2.5,12.6,21.8
7,Xinjiang Guanghui,42,48.1,112.0,40.8,85.9,.475,13.1,36.6,.358,17.2,22.3,.774,13.2,28.5,41.7,18.0,8.6,2.7,12.0,20.0
8,St. John's Edge,49,48.3,109.2,38.9,84.1,.462,11.9,31.9,.372,19.6,25.7,.765,11.3,32.2,43.5,21.6,6.5,2.2,12.4,26.7
9,Qingdao,38,48.0,108.1,39.3,83.3,.472,9.7,27.8,.347,19.8,26.5,.749,12.2,28.1,40.3,15.0,7.6,2.7,12.8,21.8
10,Shenzhen,45,48.2,107.7,40.0,82.5,.485,9.2,25.6,.360,18.5,25.4,.729,12.7,32.6,45.3,15.7,8.4,3.8,13.5,23.0
11,Windsor Express,43,48.0,107.6,38.3,81.0,.473,11.0,30.4,.361,19.9,24.9,.799,9.8,29.5,39.3,16.5,6.8,3.3,11.8,23.2
12,Jiangsu Kendia,41,48.5,107.4,39.9,81.2,.491,9.3,25.0,.372,18.4,23.7,.775,11.4,29.3,40.7,17.4,9.7,3.1,13.3,26.2
13,Halifax Hurricanes,54,48.4,107.0,40.0,85.4,.468,8.9,25.8,.346,18.1,24.7,.731,13.1,33.3,46.4,23.4,7.8,4.2,12.4,24.7
14,Cape Breton Highlanders,39,48.1,106.6,37.9,84.5,.448,9.6,29.0,.332,21.3,28.9,.735,12.1,30.8,42.8,19.7,8.3,3.2,13.5,24.4
15,Liaoning,51,48.5,106.6,40.1,82.7,.485,11.2,30.7,.365,15.2,19.2,.793,11.7,30.4,42.1,20.2,9.4,2.9,12.0,22.2
16,Nanjing Tongxi Monkey King,38,48.3,106.1,40.0,85.6,.468,8.8,27.2,.325,17.3,24.0,.720,13.4,29.7,43.1,18.2,8.2,2.5,13.1,21.3
17,Island Storm,42,48.1,106.0,38.8,86.8,.447,9.1,27.0,.336,19.4,28.0,.694,13.2,32.9,46.1,21.9,8.1,4.7,15.0,21.8
18,Beijing BeiKong,38,48.4,105.8,38.5,84.3,.457,11.1,32.3,.342,17.7,25.1,.705,11.6,30.7,42.3,17.7,8.4,2.8,11.7,21.3
19,Zhejiang Chouzhou,38,48.3,105.4,40.7,85.7,.476,9.0,25.4,.355,14.8,19.4,.763,14.2,29.9,44.1,17.4,9.1,3.3,13.3,23.8
20,Shanghai Dongfang,41,48.2,105.3,37.6,81.5,.462,12.4,32.0,.389,17.6,21.4,.820,10.0,29.4,39.4,15.6,8.1,3.0,11.6,19.3
21,KW Titans,40,48.2,105.1,38.5,85.1,.452,11.5,33.0,.349,16.7,22.2,.751,11.3,29.5,40.7,22.4,6.3,3.1,13.9,25.4
22,Guangdong Dongguan,47,48.1,104.7,39.7,81.5,.487,10.6,29.1,.364,14.9,19.7,.754,12.0,30.8,42.8,18.6,7.9,2.8,11.1,21.2
23,Sichuan Blue Whales,38,48.2,104.7,38.1,81.7,.466,8.5,26.1,.327,19.9,26.6,.750,13.1,30.5,43.6,16.2,6.2,3.8,15.0,20.8
24,Niagara River Lions,44,48.3,104.4,37.8,83.0,.456,10.9,30.3,.359,17.9,24.8,.724,10.8,31.6,42.5,22.5,6.4,5.1,13.6,23.7
25,Tianjin Ronggang,38,47.9,103.7,37.1,81.4,.456,12.5,36.1,.347,17.1,21.6,.792,10.2,24.7,34.8,17.6,9.7,2.5,13.7,22.8
26,Jilin Northeast,38,48.0,103.6,38.8,80.6,.481,9.4,25.0,.377,16.7,20.6,.810,10.0,28.0,38.0,15.4,8.3,1.9,14.2,20.9
27,Beijing Shougang,45,48.3,102.7,38.4,77.5,.496,11.4,29.1,.392,14.5,19.2,.758,10.4,27.2,37.6,20.8,8.5,3.6,12.5,24.0
28,Moncton Magic,48,48.5,102.2,36.5,83.1,.439,10.4,29.6,.352,18.9,25.3,.746,13.4,31.6,45.1,21.7,9.1,3.8,12.6,22.9
29,San Miguel Beermen,30,48.8,101.4,38.1,85.9,.444,8.7,28.6,.305,16.4,23.5,.699,14.7,36.4,51.1,22.2,8.8,6.5,18.3,20.5
30,Zerofees Southland Sharks,11,40.0,101.0,38.0,79.1,.480,8.6,23.2,.373,16.4,21.7,.753,12.8,30.5,43.4,18.9,5.5,2.6,12.1,20.3
31,Grodno-93,54,40.0,100.8,37.0,70.0,.529,10.5,26.6,.395,16.3,21.9,.743,11.5,28.6,40.1,28.4,13.0,3.1,17.4,18.8
32,Northport Batang Pier,22,48.2,99.9,38.0,89.6,.424,8.7,29.4,.296,15.1,23.1,.652,16.7,37.8,54.5,21.2,8.3,4.8,19.4,24.4
33,Alaska Aces,22,48.4,99.3,38.2,88.0,.434,8.0,24.2,.329,15.0,22.0,.680,13.9,36.2,50.1,22.8,8.7,4.2,16.5,24.2
34,Terrafirma DYIP,22,48.0,99.0,36.6,89.2,.410,10.2,33.3,.306,15.6,22.6,.689,13.3,32.0,45.3,19.2,8.4,4.4,18.1,25.5
35,Phoenix Fuel Masters,22,48.9,98.7,37.0,88.6,.418,7.7,24.1,.319,17.0,24.7,.687,17.5,33.0,50.4,22.7,10.0,2.9,18.6,26.5
36,Rain or Shine Elasto Painters,22,49.3,98.2,34.9,86.1,.405,11.1,34.5,.323,17.4,25.8,.674,14.7,37.0,51.7,22.2,8.7,4.9,17.3,23.0
37,Saint John Riptide,44,48.0,97.8,35.3,78.3,.450,10.8,29.0,.372,16.5,21.3,.776,9.3,31.7,41.0,21.5,7.6,3.5,15.1,22.5
38,Talk N Text Tropang Texters,23,47.7,97.2,36.6,86.5,.423,9.9,31.6,.314,14.0,20.0,.702,14.6,36.2,50.8,20.7,8.3,3.7,18.0,23.1
39,CEZ Nymburk,58,40.1,96.2,35.9,70.9,.507,10.6,27.8,.380,13.8,19.0,.725,11.7,27.7,39.5,21.7,9.5,2.6,12.1,19.7
